3.86,4.05,4.05,4.05,4.48,4.24,5.25,5.25,6.67,6.67,6.67,6.01,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
3.86,3.86,4.05,4.05,4.05,4.95,4.24,5.25,4.83,6.97,6.97,6.32,6.02,6.39,6.39,6.39,6.39,6.39,6.39,4.07
4.02,4.02,3.86,4.05,4.05,4.05,4.6,4.24,4.83,4.65,5.58,5.06,6.07,5.72,5.72,3.99,3.65,4.07,4.07,4.07
4.02,4.02,4.02,3.86,3.86,4.05,4.26,4.48,4.83,4.65,4.67,5.2,4.1,3.99,3.99,3.65,4.07,4.07,4.07,4.33
4.02,4.02,4.02,4.02,3.86,3.86,4.05,3.81,3.79,4.13,3.96,3.84,3.98,3.65,4.07,4.07,4.07,3.99,4.56,4.27
3.56,3.56,3.56,4.02,4.02,4.02,3.89,3.86,3.94,3.84,3.97,3.58,3.38,4.07,3.99,4.47,5.02,4.56,4.27,4.81
4.65,3.84,3.56,3.56,3.56,3.56,3.76,4.11,4.1,3.39,3.19,3.05,4.22,4.47,5.02,4.74,4.2,4.33,4.81,4.6
3.85,4.65,3.87,3.82,3.6,3.6,3.54,3.49,3.29,3.3,3.38,3.93,3.15,3.81,4.74,4.47,4.65,4.27,4.6,4.23
4.44,3.85,3.91,3.87,3.54,3.74,4.01,3.66,3.89,3.11,3.22,2.8,3.41,3.43,4.14,4.56,4.27,4.6,4.18,4.69
4.08,4.44,3.77,3.91,3.87,3.56,4.13,3.67,3.34,2.61,2.78,2.97,2.49,2.86,3.66,4.52,4.54,4.18,4.69,4.96
4.35,4.12,4.07,3.77,3.74,2.76,2.77,2.58,2.48,2.37,2.36,2.49,2.47,2.5,3.71,3.88,4.25,4.69,4.52,4.68
3.35,3.35,4.35,4.08,2.64,2.42,2.54,2.51,2.28,2.53,2.61,2.49,2.42,2.41,2.55,3.43,3.74,4.52,4.68,4.68
2.81,3.35,3.35,3.59,3.98,2.6,2.42,2.51,2.28,2.53,2.37,2.42,2.5,2.5,2.55,2.45,3.33,3.74,3.53,5.0
2.81,2.81,3.25,2.88,2.88,2.88,2.42,2.28,2.28,2.28,2.53,2.5,2.5,2.51,2.51,2.49,3.09,3.5,3.62,4.83
3.37,2.81,2.69,2.75,2.88,2.88,2.88,2.42,2.28,2.28,2.53,2.5,2.51,2.51,2.51,2.49,2.49,3.53,3.45,3.33
3.28,2.99,2.75,2.75,2.75,2.75,2.88,3.07,2.28,2.28,2.51,2.51,2.51,2.51,2.49,2.49,2.39,2.43,2.38,3.15
3.38,2.76,2.71,2.53,3.0,3.07,3.07,3.07,3.07,3.07,2.51,2.51,2.49,2.49,2.49,2.45,2.62,2.35,2.38,3.15
4.5,3.17,2.81,3.03,3.07,3.07,3.07,3.07,3.07,3.07,2.49,2.49,2.49,2.49,2.45,2.39,2.4,2.35,2.38,2.38
3.73,2.81,3.46,4.08,3.07,3.07,3.07,3.07,3.07,3.07,3.07,2.49,2.45,2.45,2.45,2.62,2.4,2.35,2.38,2.38
4.26,4.38,4.08,3.21,3.72,3.72,3.72,3.72,3.72,3.72,3.72,2.45,2.45,2.45,2.39,2.62,2.4,2.35,2.38,2.38
