X_UTM,Y_UTM,ELEV_M,SUR_METHOD,QUAD_NAME
551508.33,2832459.56,2.31,Truck,Goulds
551525.43,2832065.99,2.30,Truck,Goulds
551538.50,2831689.44,2.30,Truck,Goulds
551554.13,2831269.33,2.30,Truck,Goulds
551561.05,2830850.64,2.31,Truck,Goulds
551572.29,2829588.96,2.25,Truck,Goulds
551562.26,2830456.37,2.36,Truck,Goulds
551567.41,2830043.26,2.43,Truck,Goulds
551581.98,2829227.65,2.15,Truck,Goulds
551583.71,2828821.85,2.31,Truck,Goulds
551605.56,2826002.07,2.32,Truck,Goulds
551608.18,2826428.31,2.49,Truck,Goulds
551606.96,2826801.38,2.27,Truck,Goulds
551601.81,2827228.84,2.42,Truck,Goulds
551619.33,2825619.92,2.33,Truck,Goulds
551605.17,2827615.83,2.68,Truck,Goulds
551622.08,2825244.04,2.24,Truck,Goulds
551620.64,2828425.35,2.35,Truck,Goulds
551636.21,2823556.66,2.83,Truck,Goulds
551630.88,2824023.86,2.83,Truck,Goulds
551639.26,2823191.88,2.65,Truck,Goulds
551644.47,2822744.28,2.47,Truck,Goulds
551650.53,2824373.53,2.54,Truck,Goulds
551660.86,2821519.77,2.39,Truck,Goulds
551654.68,2821930.22,2.26,Truck,Goulds
551648.83,2822333.61,2.31,Truck,Goulds
551671.99,2820860.59,3.14,Truck,Goulds
551666.59,2821114.03,3.15,Truck,Goulds
551917.14,2832461.51,2.54,Truck,Goulds
551938.66,2831708.91,2.46,Truck,Goulds
551966.75,2833263.02,2.38,Truck,Goulds
551970.95,2830852.50,2.59,Truck,Goulds
551996.70,2828026.50,2.66,Truck,Goulds
552000.63,2830460.66,2.51,Truck,Goulds
552008.55,2826812.87,2.61,Truck,Goulds
552014.71,2826440.83,2.29,Truck,Goulds
552015.32,2826007.10,2.56,Truck,Goulds
552001.18,2828424.01,2.42,Truck,Goulds
552016.57,2829240.66,2.12,Truck,Goulds
551998.59,2827621.77,2.71,Truck,Goulds
552034.30,2829581.98,2.27,Truck,Goulds
552052.80,2822336.48,2.19,Truck,Goulds
552074.34,2823561.51,2.70,Truck,Goulds
552078.94,2821933.76,2.45,Truck,Goulds
552086.37,2824379.98,2.67,Truck,Goulds
552083.42,2822746.90,2.62,Truck,Goulds
552080.52,2821118.91,2.73,Truck,Goulds
552175.40,2820817.69,2.27,Truck,Goulds
552262.52,2833871.31,2.67,Truck,Goulds
552253.13,2834149.59,2.61,Truck,Goulds
552283.91,2833271.37,2.96,Truck,Goulds
552309.93,2832539.27,3.09,Truck,Goulds
552323.15,2832125.10,2.98,Truck,Goulds
552336.38,2831728.84,2.84,Truck,Goulds
552405.15,2828030.98,3.07,Truck,Goulds
552397.04,2829280.45,2.37,Truck,Goulds
552414.41,2827667.78,2.77,Truck,Goulds
552404.93,2828477.15,2.72,Truck,Goulds
552399.60,2828883.37,2.59,Truck,Goulds
552420.87,2826823.04,2.76,Truck,Goulds
